miRNA,coefficient,HR,CI_95%,p_value_wald_test
hsa-miR-543,-0.19,0.82,0.69-0.99,3.55E-02
hsa-miR-656-3p,-0.21,0.81,0.67-0.98,3.26E-02
hsa-miR-100-3p,-0.22,0.8,0.67-0.96,1.63E-02
hsa-miR-4497,-0.24,0.79,0.67-0.93,3.86E-03
hsa-miR-5695,-0.25,0.78,0.62-0.98,3.57E-02
hsa-miR-125b-1-3p,-0.32,0.73,0.58-0.92,6.90E-03
hsa-miR-1185-5p,-0.49,0.61,0.38-0.99,4.64E-02
hsa-miR-6715b-3p,-0.55,0.58,0.39-0.85,6.02E-03
hsa-miR-488-3p,-1,0.37,0.17-0.79,1.03E-02
hsa-miR-504-3p,-1.26,0.28,0.08-1,4.95E-02
