miRNA,coefficient,HR,CI_95%,p_value_wald_test
hsa-miR-150-5p,-0.19,0.83,0.7-0.97,2.34E-02
hsa-miR-146a-3p,-0.18,0.84,0.71-0.99,4.11E-02
hsa-miR-146a-5p,-0.18,0.84,0.7-1,4.46E-02
hsa-miR-181c-5p,-0.18,0.84,0.72-0.97,2.18E-02
hsa-miR-222-5p,-0.18,0.84,0.7-1,4.55E-02
hsa-miR-181b-3p,-0.16,0.85,0.75-0.96,1.03E-02
hsa-miR-148a-3p,-0.15,0.86,0.76-0.98,2.75E-02
hsa-miR-181a-3p,-0.15,0.86,0.74-0.99,4.05E-02
hsa-miR-153-5p,-0.11,0.89,0.8-1,4.79E-02
hsa-miR-100-5p,-0.09,0.92,0.84-0.99,3.73E-02
hsa-miR-196b-5p,0.09,1.09,1.01-1.18,2.32E-02
hsa-miR-1-3p,0.1,1.1,1-1.21,4.03E-02
hsa-miR-133a-3p,0.13,1.14,1.01-1.27,2.79E-02
hsa-miR-30a-3p,0.14,1.15,1.01-1.3,2.99E-02
hsa-miR-3065-3p,0.15,1.17,1-1.36,4.80E-02
hsa-miR-584-3p,0.16,1.17,1-1.37,4.85E-02
hsa-miR-532-5p,0.17,1.18,1.02-1.37,2.77E-02
hsa-miR-584-5p,0.17,1.19,1.02-1.37,2.36E-02
hsa-let-7c-5p,0.2,1.22,1.06-1.39,4.31E-03
hsa-miR-501-3p,0.2,1.23,1.06-1.42,7.72E-03
hsa-miR-196b-3p,0.22,1.24,1.07-1.44,3.52E-03
hsa-miR-502-3p,0.28,1.33,1.03-1.72,3.05E-02
hsa-miR-30c-2-3p,0.33,1.39,1.12-1.72,2.40E-03
hsa-miR-188-3p,0.34,1.4,1.06-1.86,1.83E-02
hsa-miR-10b-3p,0.37,1.45,1.14-1.84,2.28E-03
hsa-miR-95-3p,0.47,1.6,1.01-2.52,4.35E-02
hsa-miR-1912,0.56,1.75,1.07-2.84,2.47E-02
hsa-miR-1298-3p,0.57,1.77,1.14-2.77,1.16E-02
hsa-miR-1247-3p,0.58,1.79,1.32-2.44,2.01E-04
hsa-miR-1298-5p,0.6,1.83,1.32-2.53,2.87E-04
hsa-miR-511-3p,0.66,1.93,1.4-2.67,6.30E-05
hsa-miR-6858-5p,0.66,1.94,1.1-3.39,2.10E-02
hsa-miR-3133,0.67,1.96,1.09-3.53,2.45E-02
hsa-miR-3691-5p,0.67,1.96,1.01-3.81,4.60E-02
hsa-miR-4664-5p,0.72,2.05,1.3-3.22,1.99E-03
hsa-miR-887-3p,0.72,2.06,1.06-4,3.29E-02
hsa-miR-204-5p,0.74,2.09,1.39-3.14,3.81E-04
hsa-miR-3617-5p,0.76,2.13,1.2-3.78,9.50E-03
hsa-miR-1247-5p,0.91,2.48,1.33-4.61,4.13E-03
hsa-miR-6855-5p,0.91,2.48,1.09-5.64,2.97E-02
hsa-miR-3622a-3p,0.94,2.57,1.52-4.36,4.56E-04
hsa-miR-4788,0.97,2.63,1.02-6.78,4.55E-02
hsa-miR-6888-3p,1,2.71,1.07-6.86,3.57E-02
hsa-miR-1233-5p,1.08,2.93,1-8.6,4.98E-02
hsa-miR-6850-5p,1.07,2.93,1.19-7.19,1.92E-02
hsa-miR-3611,1.24,3.47,1.28-9.39,1.44E-02
hsa-miR-1257,1.26,3.53,1.45-8.58,5.45E-03
hsa-miR-605-5p,1.41,4.09,1.55-10.78,4.37E-03
hsa-miR-573,1.46,4.29,1.21-15.29,2.45E-02
hsa-miR-4489,1.52,4.57,1.04-20.09,4.43E-02
hsa-miR-653-5p,1.71,5.55,1.67-18.46,5.20E-03
hsa-miR-6715a-3p,1.98,7.24,2.25-23.28,8.93E-04
hsa-miR-887-5p,2,7.4,1.25-43.94,2.76E-02
hsa-miR-3679-5p,2.01,7.44,1.38-40.3,1.98E-02
hsa-miR-4673,2.19,8.92,1.88-42.27,5.86E-03
hsa-miR-211-5p,2.36,10.56,3.37-33.1,5.25E-05
hsa-miR-8072,2.41,11.15,2.46-50.48,1.75E-03
hsa-miR-3193,2.84,17.15,4.33-68.04,5.27E-05
hsa-miR-4789-3p,3.08,21.78,3.01-157.73,2.29E-03
hsa-miR-3170,3.74,42.24,1.26-1421.55,3.69E-02
hsa-miR-3923,3.87,48.15,1.07-2164.91,4.60E-02
hsa-miR-6788-5p,4.02,55.57,1.42-2178.92,3.18E-02
hsa-miR-4636,4.32,75.34,1.6-3546.03,2.79E-02
hsa-miR-5580-3p,6.18,484.22,22.04-10640.08,8.79E-05
hsa-miR-3121-5p,6.92,1007.77,17.43-58260.96,8.35E-04
hsa-miR-7152-5p,6.94,1034.16,18-59427.17,7.84E-04
hsa-miR-8079,7.27,1429.8,1.12-1827916.93,4.65E-02
hsa-miR-6499-5p,9.91,20135.85,25.68-15786405.88,3.56E-03
hsa-miR-6732-3p,12.3,219070.25,3.13-15321189970.48,3.07E-02
hsa-miR-3165,14.62,2229805.09,251.82-19744546934.78,1.62E-03
